url,label
http://atualizacaodedados.online,1
http://webmasteradmin.ukit.me/,1
http://stcdxmt.bigperl.in/klxtv/apps/uk/,1
https://tubuh-syarikat.com/plugins/fields/files/,1
http://rolyborgesmd.com/exceword/excel.php?.rand=13InboxLight.aspx?n==,1
http://ongelezen-voda.000webhostapp.com/inloggen.html,1
http://www.valenzaceramic.com/home/webapps/e52c1/websrc,1
http://membership-issue.forteimpex.com/dk2mmm=/?resType=code&amp;failedBe=,1
http://membership-issue.forteimpex.com/dk2mmm=/?resType=code&amp;failedBecause=UnknownError&amp;TokenError=67a74306b06d0c01624fe0d0249a570f4d093747,1
http://chronopost-service-enligne.net/56123s/remboursement/remboursement/assurance/68e8bee20c2d73a1dcbf1dcd35ef13f3/index_2.html,1
http://chronopost-service-enligne.net/56123s/remboursement/remboursement/assurance/68e8bee20c2d73a1dcbf1dcd35ef13f3/,1
http://chronopost-service-enligne.net/56123s/remboursement/remboursement/assurance/7361b7745a818c322229b9eea7f5ceab/,1
http://chronopost-service-enligne.net/56123s/remboursement/remboursement/assurance/db8214fc5be1e587af74890698601fe3/,1
http://acornpresscanada.com/x487kjfdsd9274r98yuofiwo5uodjld2/chase-home/verification-card.php?https://chaseonline.chase.com/Logon.aspx?LOB=RBGLogon,1
http://acornpresscanada.com/x487kjfdsd9274r98yuofiwo5uodjld2/chase-home/verification-billing.php?https://chaseonline.chase.com/Logon.aspx?LOB=RBGLogon,1
http://acornpresscanada.com/x487kjfdsd9274r98yuofiwo5uodjld2/chase-home/verification-email.php?https://chaseonline.chase.com/Logon.aspx?LOB=RBGLogon,1
http://www.tevhidigundem.ml/login/,1
https://cancel.direct.page-scure12478919.com/myaccount/,1
https://paypal.de-vorgangs-nummer-p361.info/512979/jKO09TPon862Gdk/5VucbytFBiWXAIr/329117050440/9fHjlQ6xFqeP4E0/n5SEVfk9Y6GJdWB/merchantSignUp.php,1
http://upperhouse.000webhostapp.com/ksovo/index.php,1
http://kungaguesthouse.com/wp-admin/english/,1
http://noreplinfobluewin89525.myfreesites.net,1
http://hostcpanelverfyonline.16mb.com/micav.php,1
