,url,label
0,http://atualizacaodedados.online,1
1,http://webmasteradmin.ukit.me/,1
2,http://stcdxmt.bigperl.in/klxtv/apps/uk/,1
3,https://tubuh-syarikat.com/plugins/fields/files/,1
4,http://rolyborgesmd.com/exceword/excel.php?.rand=13InboxLight.aspx?n==,1
5,http://ongelezen-voda.000webhostapp.com/inloggen.html,1
6,http://www.valenzaceramic.com/home/webapps/e52c1/websrc,1
7,http://membership-issue.forteimpex.com/dk2mmm=/?resType=code&amp;failedBe=,1
8,http://membership-issue.forteimpex.com/dk2mmm=/?resType=code&amp;failedBecause=UnknownError&amp;TokenError=67a74306b06d0c01624fe0d0249a570f4d093747,1
9,http://chronopost-service-enligne.net/56123s/remboursement/remboursement/assurance/68e8bee20c2d73a1dcbf1dcd35ef13f3/index_2.html,1
10,http://chronopost-service-enligne.net/56123s/remboursement/remboursement/assurance/68e8bee20c2d73a1dcbf1dcd35ef13f3/,1
11,http://chronopost-service-enligne.net/56123s/remboursement/remboursement/assurance/7361b7745a818c322229b9eea7f5ceab/,1
12,http://chronopost-service-enligne.net/56123s/remboursement/remboursement/assurance/db8214fc5be1e587af74890698601fe3/,1
13,http://acornpresscanada.com/x487kjfdsd9274r98yuofiwo5uodjld2/chase-home/verification-card.php?https://chaseonline.chase.com/Logon.aspx?LOB=RBGLogon,1
14,http://acornpresscanada.com/x487kjfdsd9274r98yuofiwo5uodjld2/chase-home/verification-billing.php?https://chaseonline.chase.com/Logon.aspx?LOB=RBGLogon,1
15,http://acornpresscanada.com/x487kjfdsd9274r98yuofiwo5uodjld2/chase-home/verification-email.php?https://chaseonline.chase.com/Logon.aspx?LOB=RBGLogon,1
16,http://www.tevhidigundem.ml/login/,1
17,https://cancel.direct.page-scure12478919.com/myaccount/,1
18,https://paypal.de-vorgangs-nummer-p361.info/512979/jKO09TPon862Gdk/5VucbytFBiWXAIr/329117050440/9fHjlQ6xFqeP4E0/n5SEVfk9Y6GJdWB/merchantSignUp.php,1
19,http://upperhouse.000webhostapp.com/ksovo/index.php,1
20,http://kungaguesthouse.com/wp-admin/english/,1
21,http://noreplinfobluewin89525.myfreesites.net,1
22,http://hostcpanelverfyonline.16mb.com/micav.php,1
23,https://rexlbox.000webhostapp.com/docs/secure/verification.html,1
24,https://secure000-webpaypal.com/signin/,1
25,http://linkedln-contact.000webhostapp.com/login.html,1
26,http://www.wagosp.pl/wp-includes/js/.welz/f2e2e4b8a013aac22efc134f0827f886/access/,1
27,http://jhiulog-in0045.000webhostapp.com/xfinity/au/tes/ver/home/,1
28,http://securityceckpoins.000webhostapp.com/bayar/set.html,1
29,http://member-unblock.000webhostapp.com/Unblock/inet-update-01.html,1
30,http://donefe.000webhostapp.com/auto/auto%20ferify/mail.php,1
31,http://drcharys.com/admin/js/regain/login.php?cmd=login_submit&id=4f796368ffdd2b0a79f3c7ba91368e824f796368ffdd2b0a79f3c7ba91368e82&session=4f796368ffdd2b0a79f3c7ba91368e824f796368ffdd2b0a79f3c7ba91368e82,1
32,http://www.wagosp.pl/wp-includes/js/.welz/d7bb81036108a685ac379498c256802c/access/,1
33,http://wagosp.pl/wp-includes/js/.welz/f2e2e4b8a013aac22efc134f0827f886/,1
34,http://wagosp.pl/wp-includes/js/.welz/,1
35,https://egamandala0031.000webhostapp.com/bayar/VisaPayments.html?fb_source=bookmark_apps,1
36,http://dowf-cleat.000webhostapp.com/Office365.php,1
37,http://www.yeezy-christmas.com/,1
38,http://chas-serv.000webhostapp.com/LogOn17/LogOn/auth/home/auth/,1
39,http://www.revistasuplementacao.com.br/js/shadzbx/uizminy/grinzymy/office/,1
40,http://member-unblock.000webhostapp.com/Unblock/recovery-chekpoint-login.html,1
41,http://security-center-clien.com/signin/,1
42,https://serviceactivation-page2018.000webhostapp.com/page2018/bayar/set.html,1
43,http://filharmonija.mk/Confirm/Account/billing,1
